id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation
eng_8b331eceb044f0d241f9f3eed4e20f10,Another drop in the fascist bucket,0,0,0,0,0,0
eng_1a404b6a02838812f8bac6699d88dece,Kamala Harris should tap Beto ORourke for VP,0,0,0,0,0,0
eng_8ccfdb675a0ad2772a5d349b2bbad483,County Voices Concerns Over Randolph Hospital Situation,0,0,0,0,0,0
eng_8f29d4bca58ef804371b2b5994acbc76,"I never thought ""Id agree"" with Mike Pence, but here I am.",0,0,0,0,0,0
eng_39ec83fafe657f830dbc31647428a279,"another rigged election with all the bot accounts,",0,0,0,1,0,1
eng_b6fbf0efe170bd0a1853d712527ad838,"Yes! Immigration is a classic manufactured crisis, which is to say not a crisis.",0,0,1,0,1,0
eng_52ad3f4ab2fa4a2f608c83c7f1a20077,"Joe Biden, Kate Gallego announce new plan to combat",0,0,0,0,0,0
eng_25581d14bfade4f8219cdb1e05d3a402,If he loves refugees so much why doesnt he bring refugees to Israel,0,1,1,0,0,1
eng_42c9330255dd533b15ddb845a616c2e0,Its the NY Post. Theyre literally fake news.,0,0,0,0,0,1
eng_3f1d7cc3cf5688a962fda4af46c2d054,"Lady a, didnt they change their name to appease the woke mob?",0,0,1,0,1,1
eng_5dae14118d1c906a459928dc0dbace25,great to see jacinda stand up to the woke mob,0,0,0,1,0,0
eng_e710ab9d58691cb46d01957d9f45148a,Im a fan of Mike Pence now what bizarro world are we living in?,0,0,0,0,0,0
eng_908c9f6d1a52e84039caf79915140ce9,A lot of those folks are there because of drugs that came in through open borders.,1,1,0,0,1,0
eng_ac736f9508f783d8f5422fa53b39040f,"hcci supports antifa,blm,defund the police and socialism",1,1,0,0,0,0
eng_61db74f3ed3b95e8e4d937570b7730ef,UPDATED: Englewood Police Release Video and Audio of Incident,0,0,0,0,0,0
eng_41c2844ffe584c11393d22d89995cc3b,Republicans are acting like criminals,1,1,0,1,0,0
eng_e5a3354164bcb79813745d5b9a5f050e,Im delighted to report the interminable 31 year ceasefire in the BattleofAlberta has finally ended.,0,0,0,0,0,0
eng_6bdc71240598e19e5e6a27cc089f925d,Do you want to sue Joe Biden? Kansas AG Kris Kobach,0,0,0,0,0,0
eng_0a66001a5c61367ce476456ea0e5e009,"Hunter Biden defies GOP subpoena, blasts impeachment",0,0,0,0,0,0
eng_2242f8919b3dd02042304727d4f3d90c,Hurst mayoral campaign accused of voter fraud based,0,0,0,0,0,0
eng_a003dc6bc6ab23247c3d3b3e74258646,Could there be two less qualified persons to discuss the Ukraine invasion? I dont think so.,0,1,1,1,0,0
eng_0cb41edd908a46643f8bc952b6128a23,looks like the cpc is trying to take down the gatekeepers. i will have my gospel group pray for DefundThePolice,0,1,1,0,0,0
eng_4413516df53797c7497a4ff5b57c2a40,man fuck Donald Trump bro,0,1,0,1,0,1
eng_7772c4bc9b52aa288afcc14528b3c758,Enthusiasm for Donald Trump is waning,0,0,0,0,0,0
eng_a665bccd9739ad1c9469400b3cf0eb80,"This is the kind of information that is needed daily so that people can see who is and who is not working, as they were elected to do, to improve their constituents lives. Getting rid of Citizens United should have been priority one long ago. Second is getting rid of the Electoral College.",0,0,0,0,0,0
eng_4a234ba7a1a380ae52fbe079c59349d9,Why dont you get it? Its white Christian nationalism.,1,1,0,1,1,1
eng_53305f7766e99dc3ecc22c58d9bb38ea,It did the right thing. Push back at every turn against the woke mob.,1,1,1,0,0,1
eng_0c45292c1deaa071dc6b8772ab872d0c,We need to DEPORT MUSK for illegal immigration.,0,1,0,1,1,0
eng_8022be1f2d8389c7191b17529516ed95,It is not a resistance but xenophobia,0,0,0,0,0,0
eng_93f3bbb3558fe81927b951e3522ab0c9,"No, i get it. If Democrats come up with a border security bill, its a nonstarter. If Republicans offer one, ""Lets getr done!""",0,0,0,1,0,1
eng_08431da1410f6227336d3d59e2165e24,I really be bout to cry every time I think about Kamala Harris,0,0,0,0,0,0
eng_57e425a54dadbac4bd1cceea56f0fdd0,Great Opportunity for Permanent War What if Israel Annexed the West Bank? via,0,0,0,0,0,0
eng_c205b5e77e74a8b5b0e1ac841a58f6be,Election fraud just occurred in Arizona. Great,0,0,0,0,0,1
eng_990ae62349279e9b7aa1258aa87e517c,is Kamala Harris still the vice president,0,0,0,0,0,0
eng_d41fd5cc92f68d8e48198e10db2c730e,Glad to hear that an open borders guy will be running the Trump White House.,0,0,0,0,0,0
eng_8b195bb5cedc7fc66a20ec50d3b227b5,Why Republicans condemn taking Anthony Waynes name,0,0,0,0,0,0
eng_f5697730053ce3d6b7039ea1855dc9ed,BREAKING Antigua Barbuda and Armenia reach agreement for 58day ceasefire.,0,0,0,0,0,0
eng_3265e6a9b1fafe516d9e7db21116b985,"WE NEED RUSSIA TO WITHDRAW, NOT CEASEFIRE.",0,0,0,0,0,0
eng_953175fbdf11ba464912586a5b9500da,Epic treason by all Republicans.,0,1,0,1,0,1
eng_061b7ca752eed1ce63e9e10adcf73fe4,The absolute depravity of the Israeli army will haunt Israeli society,1,1,0,1,0,1
eng_7139be0e928005eb981c96192c66c361,Fuck imperialism Fuck putin StopTheWar NoWar,0,1,0,1,0,0
eng_9c11db332927066bc3c04eeeaa56b134,President Joe Biden plans to travel to New Mexico next,0,0,0,0,0,0
eng_a1e2df3e5a1373c0794e00b02f7d31e2,respectfully i am too drunk to continue this i request a ceasefire,0,0,0,0,0,0
eng_24994745435ac102235c3ba3b043c509,Another Trump campaign lie. Herschel was supposed to build the iron dome.,0,1,0,0,0,0
eng_4149c49e3fad5f9740f8ce287ba77349,Return of the Trump Deportation policy,0,0,0,0,0,0
eng_37b315fba430a74880bcb17751d40a64,This is false. Please dont make fake news tge norm.,0,0,0,0,0,0
eng_4578a55c85e9fe08a5d1618338589dee,Didnt Joe Biden shower and rape his teen daughter. Oh thats right he did.,0,1,1,1,0,1
eng_4b264537888ec3ac4efc7ba33b5f0470,Couldnt electoral colleges upend the results and vote Kamala Harris in?,0,0,0,0,0,0
eng_3dd9252f324dbcc1254e1af5e3cf29a9,"FBI shoots, kills Utah man wanted for Joe Biden, Alvin",0,0,0,0,0,0
eng_b937ff77b2358a8dd59e19a581cab998,Nazis murdered Hews. Zionism saves Jews.,1,1,1,1,0,0
eng_72540d1085aef8eba392383cad4ab32e,"I think we may be entering a golden age for amazing propaganda, again. Im here for it. elon maga trump propaganda",0,0,0,0,0,0
eng_b0753f1ec1ef2667ee432b008c851dd1,I do not care about voter suppression in the slightest.,0,0,0,0,1,1
eng_07bac9b9559b2b9dc7281d9cf0280b34,"Yeah, some IDF are indistinguishable from them.",1,1,0,0,0,0
eng_73a498ee92e337cb1ca3602c6f3c143e,"Russias military says withdrawal of troops from west bank of river that divides Ukraines Kherson region completed, reports AP",0,0,0,0,0,0
eng_5f04bd836405c36697833bc855adea0f,espña digna lucha contra em neonazismo del IDF,0,0,0,0,0,0
eng_a1f0ae85582e5cb6affabb1ee67e664a,NOT the xenophobia TOO I HATE this man SM,0,1,0,0,0,1
eng_514cd3eb47b690b12e5bf927a5f68f61,265 and check your voter registration details. RegisterToVoteZW VoteForChange Vote CCC,0,0,0,0,0,0
eng_16a79ef0d1f95508be16cd92238a7450,"President Trumps attacks against ""gender ideology"" are not about defending women, .bsky.social asserts. Rather, they align with a global movement targeting LGBTQ rights and progressive gender norms. Read her newest for .org",0,1,0,1,0,0
eng_6cda5c6f7e963906cf30bc2aa6eaf717,heres your reminder that early voting ends november 4th,0,0,0,0,0,0
eng_e09fbd67a7e2a6a31020f25fb919a7ed,Its going to be just CNN you dim bulb,0,0,0,0,0,0
eng_3d2b4cc1bd747eac22aad9762e6e4fb2,Seeing democrats melt down over Ted Cruz has been the highlight of my day. DemocratsAreEvil redwave fuckyouall,0,1,1,1,0,0
eng_e6fff568298653e991305ca83a1cb451,"Hostage release delayed, wont start before Friday, Israeli",0,0,0,0,0,0
eng_5d4d1bfca0275b2dbfe174d5a63e0675,"Im being cancelled by the Woke Mob for ""armed robbery""",0,1,0,1,0,0
eng_22438247d08a580273b9e8164b842f91,Conrads continue to mourn loss of son,0,0,0,0,0,0
eng_821827df2f633ec55e3fea96a38ab2c9,Studentled ceasefire protest delays state announcementSalem,0,0,0,0,0,0
eng_c86caf102200ad0da29a3ad94704ce5c,Nato was formed to stop expansion of USSR. Now Russia has problem on Nato Expansion,0,0,0,0,0,0
eng_b80aa667ea82bf90bd1d2d2bbb841e5b,"It is military aid, like lendlease that helped the USSR during WW2",0,0,0,0,0,0
eng_4fda14d63e2e094209e64443641dc71a,"Danbury Democrats flip City Council, take supermajority",0,0,0,0,0,0
eng_59749d011d78380ec6b3a226ddb5390d,Fake News The guy in the photo above has several chins.,0,0,0,0,0,0
eng_aceb436b446c4606041af2bf3c67ab93,Most Iowa GOP caucusgoers say Trump beats Biden,0,0,0,0,0,0
eng_a46ac39f5fa8303e9b2491f59be503fb,DOJ wont appeal court ruling in Florida immigration,0,0,0,0,0,0
eng_f473c25aad8cf481308250dcd83b94be,"It would be interesting if the powers to be decided to go ""against"" the electoral college",0,0,0,0,0,0
eng_d7ba26609948b259170abbaa02594a87,The lack of national identity is the basis for Canadian literature. You cant lose what you never had.,1,1,0,0,1,1
eng_8c062041e169e434c05b2a31abac9ba7,"Know thy enemy Populism, polarization, and posttruth.",0,0,0,0,0,0
eng_ce037934e9c48dad2ad517f22d8d6017,I have just joined as I had to get off X. It has been rigged to expose you to total racist and extreme right wing ideology.,1,1,1,1,0,1
eng_cc7e9c435010ceb3cc03ca6e9169de48,The media was really out here trying to manifest an insurrection pt 2,0,1,0,0,0,0
eng_219fbbd5282771d1a9abfa26896aae5d,Fort Wayne Democrats seek to reclaim City Council,0,0,0,0,0,0
eng_54c991588b4fdb13b77b4f7841f8fd0f,"If there isnt a massive Republican victory on November 8th, the only explanation is a rigged election system",0,1,0,1,0,1
eng_e19b6229c77c83b66f4bc3815b46cd0a,Novak Djokovic on Border Security is going to be the best episode ever!,0,0,0,0,0,0
eng_8c8952b140619fdfb60d523065559061,So your real problem is actually with capitalism,0,0,0,0,0,0
eng_333761dd8534f7f48f6fc4a9e06cec6b,The quintessential difference between Capitalism and Socialism.,0,0,0,0,0,0
eng_ac6bbed74f7f18d69a5d46655a5dfc18,Milwaukee Palestinians denounce deadly Israeli airstrikes,0,0,0,0,0,0
eng_72d48b4ff2a3be086b62cc863a4ba26e,They dont want us to call it a raid. So lets call it what it is. Election interference. Possibly INSURRECTION.,0,1,0,1,1,0
eng_38abe1317b5d4da5b0178d09fff9f69d,"Wait, I thought Republicans were against the ""defund the police"" movement.",0,0,0,0,0,0
eng_2c77bd1f661480f247fad599ac99bd17,"""If you disagree with imperialism, youre a supporter of imperialism""",0,0,0,0,0,0
eng_95b4d034144a33e2b34df45e0ee09e25,Past generations of immigrants looked a lot more like present day asylum seekers than present day tech workers.,0,0,0,0,0,0
eng_a4d74eeb3ff29deb592d962a70337ed1,He added that the issuance of national identity documents was one of the key deliverables of the programme.,0,0,0,0,0,0
eng_b5d4d49db28614ec464ce5887e4dc946,"This is the problem! Democrats clap back and then ""other"" democrats demonize them. Get bent!",0,0,0,1,0,0
eng_d10bf6f33e6b4906ab511af634abddcd,fwiw I think we should have open borders,0,0,0,0,0,0
eng_53e3bf07cfee2e3ab81022a35eb613e2,"Theres nothing new fake news, cannot be",0,0,0,0,0,0
eng_33646cec59a97a435e493f85664269d3,Protest calling for ceasefire in Gaza shuts down Harrisburg,0,0,0,0,0,0
eng_5330629eb46d2558c140deec17567831,Thank Now go get Jim Acosta MSNBC!,0,0,0,0,0,0
eng_14efdd594937097afead3c8f98641463,So youre mad that border security is actually working? Weird flex but ok.,0,0,0,0,0,0
eng_e0e810132d26e0348b1f8b1825348628,City of Chickasha Hires Assistant Police Chief,0,0,0,0,0,0
eng_bdd5683f38b5ee75a82320873151cb80,Ti space taka Gaza Hile Ukraine,0,0,0,0,0,0
eng_0966d1a86effb32802c8acc970995f9e,It will be a cluster. Vengeance. Sad total disruption to blue states and at the cost of immigrants,0,0,0,0,0,0
eng_77434b24e5aabaec0ddfc57c48b2edff,The inevitable link between migration and multiculturalism has been exploited by the rightwing populism to instill fear us against them.,1,1,0,1,0,0
eng_1f7f51654921fcf7c134a59f11ca19d1,ArrestSureshChavhanke Arrest this Israeli dog,0,1,1,1,0,1
eng_256c0ff64371a09ce6c9fc8c36e0b97b,Donald Trump endorses Gov. Tate Reeves ahead of Nov. 7,0,0,0,0,0,0
eng_bbf2a834888fe4e08c85536d23bb093a,Take us with you Canada !! Sincerely all Blue States,0,1,0,1,0,1
eng_3941a39fe174ae8850eddb267d3f5bb3,"Dear Allah, please protect all Muslim in Gaza",0,0,0,0,0,0
eng_6c9b82fdc6a58e8c212bde9a071bb77a,Not just my theory on votes. But the Epstein file is just my personal conspiracy theory.,0,0,0,0,0,0
eng_561a6df6000e081dafec5e21c3e6e4e4,"Trump returns to USMexico border, lays out immigration",0,0,0,0,0,0
eng_522ec520df6d2c979cd03cf956048bc3,Antony Blinken gets it exactly right in case against HamasThe Iola,0,0,0,0,0,0
eng_56385f6a1974b0546b183ac582ae71e3,Its populism Dan. The same populism that the confused sex yeti and his minions parroted to get Brexit done.,1,1,0,1,1,1
eng_b7445c8e4e0e271e4b9c012ddbdea070,Electoral college fuck my drag,0,0,0,1,0,0
eng_ca881ac98fc39a10e272e2dc881aa2f5,Guys who dont touch boobs are more likely to be extreme right wing.,1,0,0,1,0,0
eng_0b474cf6392e210990def16d7646652c,"Whitmer team, Michigan Democrats tied to Marshall money",0,0,0,0,0,0
eng_3b346a8e85d661ff2f35c5a6056f6518,Fox is not a news network but a propaganda,1,0,0,1,0,0
eng_dbcee818b240e8ea82a37e5530738aa7,The EU is increasing military aid to Ukraine to one billion euros the press release on the website of the Council of Europe.,0,0,0,0,0,0
eng_d508c49c39e94853f5bc133994c40d3d,Why not just revive the latest impeachment?,0,0,0,0,0,0
eng_f3805f10a52cf2001a4a36f174041f8d,Fuck The Islamic University of Gaza in Palestine,0,0,0,1,0,0
eng_b9e6b7a1a26ab61ce93eca5f8af669e3,nate is why we need gun control,0,0,0,0,0,0
eng_6476ccc834e0a39557d9f03e483ac035,Dont forget about them wanting bodies to draft into the military. The rich want plenty of human shields to protect them.,1,1,1,1,1,1
eng_3f14d410190f6b17b58a3fcfe15b0167,are we still pretending NATO expansion is not part of the balanced take on the situation?,0,0,0,0,0,0
eng_00758f5a8b22322bdf571481ec0efb75,Dems should file articles of impeachment every single day. We have to stop these criminals.,0,1,0,1,1,0
eng_a8fc05e838a30e6677dec4fb36d84b12,"Wait, I was assured early voting was cheating!",0,0,0,0,0,0
eng_322feade47195fb72f933e9f19f9354e,"NATO takes over coordination of military aid to Kyiv from US, source says @URL",0,0,0,0,0,0
eng_c1d62bbb5fc90a725dde30319e2692bc,Ukraine war Russia Sanctions Taiwan War China Sanctions New World Reserve Currency,0,0,0,0,0,0
eng_ff2b01bc471b7d4830e4325504edfebc,"The Italian government has approved the tenth package of military aid to Ukraine. The list of weapons that will be sent to Kyiv is confidential, ANSA reports.",0,0,0,0,0,0
eng_ab885ed6f491c6b9836fa054f0e8df6f,The NRA is a domestic terrorist organization.,0,1,1,1,0,1
eng_6d2cb1e0385af1c81c861d1a496e21fe,Ukraine glorification ukrainian Nazis killers jewish during Holocaust and before during pogroms in Ukraine.,0,1,1,1,1,1
eng_b4f089e44c56c0e6bc095c7745a6e0b0,You belong in a deportation charter plane,0,1,1,1,1,0
eng_019f61be6c41625a193ede4ca3ed729d,Los Altos council meeting serves as forum on IsraelHamas,0,0,0,0,0,0
eng_3046e4071d4b7e2812c2acc971018d3c,Dalton Man Accused of Firing at Police,0,0,0,0,0,0
eng_9e29b53245f2c4d24a48c8d12b44634d,The HOUSE impeaches. The Senate holds the impeachment trial...,0,0,0,0,0,0
eng_ed3b03ba033951fd0a0d8a37cec670c3,Gun Control doesnt exist btw,0,0,0,0,0,0
eng_8e7aae33e6a618a82fcfd33f69431a6a,Although obviously letting Azovstal prisoners go isnt helping denazification.,1,1,0,1,0,0
eng_17295bf28850b5527a04dc7f5c229a53,Illegal unregistered Foreign lobbyists oligarchs deserve sanctions !,1,1,0,1,0,0
eng_d01cb06e09b26af49321bc7cbee34dad,"Some def do, but many just use plain ol antiblack xenophobia thats pretty unambiguous",1,1,1,1,0,0
eng_b1185828f87f7847211184f42727d48b,When are they eligible for deportation?,0,1,0,0,1,1
eng_089ace255b5561d11c14e23c83848e4d,The electoral college needs to end,0,0,0,0,0,0
eng_81366827f83a7d1b3133042a8a2c2822,Only out in the open. Apparently thats fine with them. They dont mind the deep state if its a little less deep,0,0,0,0,0,0
eng_5a412a859ef3e365ec05ca39bb29eadd,Boris Johnson pledged a further 100m of British military aid to Ukraine only this afternoon C4News,0,0,0,0,0,0
eng_26150b2b97aa5df546a2603780464fb0,"I dont want to grow a dynamic relationship with an apartheid state, Kathy",0,1,0,1,0,1
eng_90a6d5ae4b31bed1a5b8b4b7b997438f,Where did all the proPalestine antigenocide people go? Did they all stay on x or are they being suppressed here?,0,1,0,0,0,0
eng_e98e55299a596ec8158e2574005f8d0e,Palestinians sue Blinken over continued US military aid to Israel despite rights abuses @URL,0,0,0,0,0,0
eng_ff65b44887ae8572e1b889fe1e1c6fec,MIKE PENCE CHAMPION. Where are his Republican chums? Disgraceful that they are not speaking up.,1,1,1,0,0,0
eng_b71a67c08fd3aee925b0d7739594f2ad,Panel of journalists discuss fake news at SPJ,0,0,0,0,0,0
eng_5d9b751c980d2332323453dd05a3dd90,"November 9, 2024 Heres the proof it wasnt Joe Biden!",0,0,0,0,0,0
eng_f9c3eeb28a2c83b9f55ddfb92aec02ae,The latter. India doesnt need military aid from anyone.,0,0,0,0,0,0
eng_34772e5902ef0492bc2e53d4fd6898bc,The names of the people who adamantly opposed NATO expansion of any sort are truly something to behold.,0,0,0,0,0,0
eng_f28a4f413e700904261bae2b19460fb5,Haley goes after Trump on Israel. See what other GOP,0,0,0,0,0,0
eng_08001934db324704fa969f6835bc7329,Refugees ofc being an exception here.,0,0,0,0,0,0
eng_8240552b698a564b66440a8efbe672ee,Using kids as human shields as always,1,1,0,0,0,0
eng_d098e14efbc6f9b61f45dc59f5a3217f,Yeah Bidens border security reform has been let them all in!!,0,0,0,1,0,1
eng_4867475f686b2156bfdc609e3716f110,KAMALA HARRIS TO BE EXACT,0,0,0,0,0,0
eng_45f4672ce09134a104755420daf67c57,Will Kamala Harris run in 2024?,0,0,0,0,0,0
eng_1a48c1c059364114b73066ab21317946,The musk vs maga stuff is fun to watch but it does stoke anti immigration sentiment in trumps base and maybe in new spaces.,1,1,0,1,0,1
eng_f280df72237f2b081eaf7e2695323442,"Cant wait to see how many people are gonna say that Pixar ""ruined their childhood with their Liberal agenda""",1,0,0,1,1,1
eng_9dd8b04226b0d9a3fad7e4589c3ddaea,They claim the students were killed by Ukrainian Nazis,0,0,0,0,0,0
eng_08bccf0a871371f92f92947c2927afd5,"Considering how much the riots cost the UK, maybe he and his mates should stop spreading disinformation about asylum seekers and provoking hatred.",0,0,0,0,0,0
eng_393b1271c37b5f68ce43a7a44de16800,"""Talks to reach a Gaza ceasefire and hostage release deal between Israel and Hamas are 90 complete, but key issues remain that need to be bridged, a senior Palestinian official involved in the talks told the BBC."" worldrss.bsky.social @URL",0,0,0,0,0,0
eng_1d36691c7caf26dd5b5988a4d7caa909,"not very complicated, illegal immigration is not the same as legal",0,0,0,0,0,0
eng_93f9c8c1e5c3e50b98d20d1b3bfe644b,Germany provided a new military aid package for Ukraine,0,0,0,0,0,0
eng_3f26c57bb2b7ed395113ad2fa8bbafc3,wtf are these chelsea sanctions??,0,0,0,0,0,0
eng_4f9e730f74813a30bbc05582242ee9e2,Another reason not to watch CNN.,0,1,0,1,0,1
eng_1b27f344c32ac7e609d6e76a9c0dd07e,"THE US IS PREPARING MILITARY AID PACKAGE FOR INDIA, WEAPONS PACKAGE ALSO SEEN AS AIDING US STANCE WITH CHINA.",0,0,0,0,0,0
eng_3da3f2ec5ae76e2714c2511ba2f2bb45,Then youd observe that in blue states,0,0,0,0,0,0
eng_471fdf362329d331607a326babeb4414,"Russian Foreign Minister Lavrov stands by denazification claims, dismissing Zelenskyys Judaism",0,0,0,0,0,0
eng_a5f34a5db504fc4801152156897b2c4d,Local woman gets a death threat after flying Trump MAGA,0,0,0,0,0,0
eng_828aba7f598225073c3c3dbb79969798,"If you are a liberal defending pedophilia because its part of the liberal agenda, you need to reread that and let it sink",0,1,0,0,0,0
eng_464387ec1f66c62589a33ba9c63b1186,SF supervisor to introduce resolution calling for ceasefire,0,0,0,0,0,0
eng_0074d4c4d848c3d3c91fb69d53820516,Who is most affected by gun control?,0,0,0,0,0,0
eng_a19c1128e85dcec12ccd92b9f775fa91,"TRON 1982 is reminiscent of multiculturalism, if you think about it recklessly.",0,0,0,0,0,0
eng_58090bf54d52d10225c73e23d4d83627,AOCLovesElon because Pelosi loves to pay her winery staff low wages while threatening deportation,1,1,0,0,0,0
eng_fddc1ec926005381d8a9729bda8cd0da,I can heard them saying VOTER FRAUD.,1,0,0,0,0,1
eng_3945386fb011f3e8cf887426cbdd4c28,How immigration policy fuels a child labor,0,0,0,0,0,0
eng_e779a9efddf9bcd79602bcde20ecd188,Israeli Supreme Court hears first challenge to Netanyahus,0,0,0,0,0,0
eng_2935fb66e209cd14d963a535bddbe4b9,"Interesting, where have I continuously insisted theyre open? Americans do not want open borders. Deporting illegal crossers and merit based entry is broadly popular.",0,0,0,0,0,0
eng_cd7193b7e2a442b441185de0e02507b8,You should also see DHHs shift to the extreme right.,0,0,0,0,0,0
eng_e798c92dab2d8a10a23abf1d07c6fa78,"As expected, its all about white christian nationalism while Asians are scapegoated @URL",1,1,1,1,1,1
eng_237bcb96347ced305c09c57bf1477844,The GOP plans to ban spaying.,0,0,0,0,0,0
