token,label,pmi,joint_count,token_count,tokens_with_label,p_token,p_label,p_joint,ngram_type
nato expansion,0,0.4444362791453925,19,24,21162,0.0006597938144329897,0.5817731958762886,0.0005223367697594502,bigram
voter registration,0,0.4426693529712046,34,43,21162,0.0011821305841924399,0.5817731958762886,0.0009347079037800687,bigram
national identity,0,0.44043434858789626,15,19,21162,0.0005223367697594502,0.5817731958762886,0.0004123711340206186,bigram
is it,0,0.40295964316923305,10,13,21162,0.00035738831615120275,0.5817731958762886,0.000274914089347079,bigram
calls for,0,0.36643376714411935,9,12,21162,0.00032989690721649484,0.5817731958762886,0.00024742268041237116,bigram
ukraine invasion,0,0.3540500426882869,29,39,21162,0.0010721649484536082,0.5817731958762886,0.0007972508591065292,bigram
i think,0,0.34089867503698157,14,19,21162,0.0005223367697594502,0.5817731958762886,0.00038487972508591066,bigram
electoral college,0,0.3175241666631729,29,40,21162,0.001099656357388316,0.5817731958762886,0.0007972508591065292,bigram
fake news,0,0.3175241666631729,29,40,21162,0.001099656357388316,0.5817731958762886,0.0007972508591065292,bigram
the electoral,0,0.31580769407415127,21,29,21162,0.0007972508591065292,0.5817731958762886,0.000577319587628866,bigram
conspiracy theory,0,0.3119859831217428,13,18,21162,0.0004948453608247423,0.5817731958762886,0.00035738831615120275,bigram
on the,0,0.27897092589378,24,34,21162,0.0009347079037800687,0.5817731958762886,0.0006597938144329897,bigram
you dont,0,0.26689809359320493,7,10,21162,0.000274914089347079,0.5817731958762886,0.00019243986254295533,bigram
voter fraud,0,0.2579093103659502,16,23,21162,0.0006323024054982818,0.5817731958762886,0.00043986254295532644,bigram
from the,0,0.2579093103659502,16,23,21162,0.0006323024054982818,0.5817731958762886,0.00043986254295532644,bigram
have been,0,0.2509565497241833,9,13,21162,0.00035738831615120275,0.5817731958762886,0.00024742268041237116,bigram
in gaza,0,0.2454183661827533,20,29,21162,0.0007972508591065292,0.5817731958762886,0.000549828178694158,bigram
the west,0,0.22507791789857765,17,25,21162,0.0006872852233676976,0.5817731958762886,0.00046735395189003435,bigram
will be,0,0.22507791789857765,17,25,21162,0.0006872852233676976,0.5817731958762886,0.00046735395189003435,bigram
fox news,0,0.22204385780894434,19,28,21162,0.0007697594501718213,0.5817731958762886,0.0005223367697594502,bigram
in a,0,0.19650876570180723,18,27,21162,0.0007422680412371134,0.5817731958762886,0.0004948453608247423,bigram
that the,0,0.19650876570180695,12,18,21162,0.0004948453608247423,0.5817731958762886,0.00032989690721649484,bigram
iron dome,0,0.19650876570180695,26,39,21162,0.0010721649484536082,0.5817731958762886,0.0007147766323024055,bigram
for a,0,0.19650876570180667,14,21,21162,0.000577319587628866,0.5817731958762886,0.00038487972508591066,bigram
the israeli,0,0.19650876570180667,8,12,21162,0.00032989690721649484,0.5817731958762886,0.00021993127147766322,bigram
the us,0,0.19650876570180667,16,24,21162,0.0006597938144329897,0.5817731958762886,0.00043986254295532644,bigram
civilian casualties,0,0.19650876570180667,14,21,21162,0.000577319587628866,0.5817731958762886,0.00038487972508591066,bigram
asylum seekers,0,0.17575020553500945,23,35,21162,0.0009621993127147767,0.5817731958762886,0.0006323024054982818,bigram
russian aggression,0,0.17378868920172338,21,32,21162,0.0008797250859106529,0.5817731958762886,0.000577319587628866,bigram
and the,0,0.17141778473897643,19,29,21162,0.0007972508591065292,0.5817731958762886,0.0005223367697594502,bigram
do you,0,0.1647999059744687,15,23,21162,0.0006323024054982818,0.5817731958762886,0.0004123711340206186,bigram
of a,0,0.15344004380992096,11,17,21162,0.00046735395189003435,0.5817731958762886,0.00030240549828178693,bigram
free palestine,0,0.15344004380992096,11,17,21162,0.00046735395189003435,0.5817731958762886,0.00030240549828178693,bigram
border security,0,0.15142087617326877,42,65,21162,0.0017869415807560138,0.5817731958762886,0.001154639175257732,bigram
joe biden,0,0.14404134580767095,45,70,21162,0.0019243986254295533,0.5817731958762886,0.0012371134020618556,bigram
the world,0,0.1293945698432699,7,11,21162,0.00030240549828178693,0.5817731958762886,0.00019243986254295533,bigram
collective punishment,0,0.1293945698432699,7,11,21162,0.00030240549828178693,0.5817731958762886,0.00019243986254295533,bigram
i am,0,0.1033993613103255,15,24,21162,0.0006597938144329897,0.5817731958762886,0.0004123711340206186,bigram
that is,0,0.08103154828187073,8,13,21162,0.00035738831615120275,0.5817731958762886,0.00021993127147766322,bigram
the ukraine,0,0.06526423242355452,14,23,21162,0.0006323024054982818,0.5817731958762886,0.00038487972508591066,bigram
i dont,0,0.06526423242355452,14,23,21162,0.0006323024054982818,0.5817731958762886,0.00038487972508591066,bigram
swing states,0,0.06157918561569832,17,28,21162,0.0007697594501718213,0.5817731958762886,0.00046735395189003435,bigram
war crimes,0,0.05900524195187184,20,33,21162,0.0009072164948453608,0.5817731958762886,0.000549828178694158,bigram
what do,0,0.04450567225675699,6,10,21162,0.000274914089347079,0.5817731958762886,0.00016494845360824742,bigram
what you,0,0.04450567225675699,6,10,21162,0.000274914089347079,0.5817731958762886,0.00016494845360824742,bigram
of hamas,0,0.04450567225675699,6,10,21162,0.000274914089347079,0.5817731958762886,0.00016494845360824742,bigram
in red,0,0.04450567225675699,6,10,21162,0.000274914089347079,0.5817731958762886,0.00016494845360824742,bigram
mike pence,0,0.04450567225675699,27,45,21162,0.0012371134020618556,0.5817731958762886,0.0007422680412371134,bigram
immigration is,0,0.04450567225675699,6,10,21162,0.000274914089347079,0.5817731958762886,0.00016494845360824742,bigram
migrant crisis,0,0.04450567225675699,6,10,21162,0.000274914089347079,0.5817731958762886,0.00016494845360824742,bigram
the gop,0,0.04450567225675699,9,15,21162,0.0004123711340206186,0.5817731958762886,0.00024742268041237116,bigram
at the,0,0.04450567225675699,9,15,21162,0.0004123711340206186,0.5817731958762886,0.00024742268041237116,bigram
in the,0,0.02367216883959122,55,93,21162,0.002556701030927835,0.5817731958762886,0.0015120274914089348,bigram
the next,0,0.003863687759411075,7,12,21162,0.00032989690721649484,0.5817731958762886,0.00019243986254295533,bigram
is no,0,0.003863687759411075,7,12,21162,0.00032989690721649484,0.5817731958762886,0.00019243986254295533,bigram
and a,0,-0.025883655634641213,8,14,21162,0.00038487972508591066,0.5817731958762886,0.00021993127147766322,bigram
going to,0,-0.025883655634641213,8,14,21162,0.00038487972508591066,0.5817731958762886,0.00021993127147766322,bigram
the idf,0,-0.048603732134724326,9,16,21162,0.00043986254295532644,0.5817731958762886,0.00024742268041237116,bigram
the second,0,-0.048603732134724326,9,16,21162,0.00043986254295532644,0.5817731958762886,0.00024742268041237116,bigram
for the,0,-0.06652564013198675,30,54,21162,0.0014845360824742267,0.5817731958762886,0.0008247422680412372,bigram
a jewish,0,-0.09299785149317791,6,11,21162,0.00030240549828178693,0.5817731958762886,0.00016494845360824742,bigram
to the,0,-0.09823449985932498,25,46,21162,0.0012646048109965636,0.5817731958762886,0.0006872852233676976,bigram
to do,0,-0.11161352966052494,7,13,21162,0.00035738831615120275,0.5817731958762886,0.00019243986254295533,bigram
he was,0,-0.11161352966052494,7,13,21162,0.00035738831615120275,0.5817731958762886,0.00019243986254295533,bigram
military occupation,0,-0.11161352966052494,7,13,21162,0.00035738831615120275,0.5817731958762886,0.00019243986254295533,bigram
voting rights,0,-0.12541932918555557,8,15,21162,0.0004123711340206186,0.5817731958762886,0.00021993127147766322,bigram
blue states,0,-0.13106589232669752,17,32,21162,0.0008797250859106529,0.5817731958762886,0.00046735395189003435,bigram
have to,0,-0.13606657338506384,9,17,21162,0.00046735395189003435,0.5817731958762886,0.00024742268041237116,bigram
the same,0,-0.15141453771850022,11,21,21162,0.000577319587628866,0.5817731958762886,0.00030240549828178693,bigram
trying to,0,-0.15141453771850022,11,21,21162,0.000577319587628866,0.5817731958762886,0.00030240549828178693,bigram
this is,0,-0.19156168597676768,27,53,21162,0.0014570446735395189,0.5817731958762886,0.0007422680412371134,bigram
was a,0,-0.21852873357703687,5,10,21162,0.000274914089347079,0.5817731958762886,0.0001374570446735395,bigram
its a,0,-0.21852873357703687,10,20,21162,0.000549828178694158,0.5817731958762886,0.000274914089347079,bigram
would be,0,-0.21852873357703687,10,20,21162,0.000549828178694158,0.5817731958762886,0.000274914089347079,bigram
out of,0,-0.21852873357703687,5,10,21162,0.000274914089347079,0.5817731958762886,0.0001374570446735395,bigram
the only,0,-0.21852873357703687,10,20,21162,0.000549828178694158,0.5817731958762886,0.000274914089347079,bigram
you have,0,-0.21852873357703687,5,10,21162,0.000274914089347079,0.5817731958762886,0.0001374570446735395,bigram
about the,0,-0.21852873357703703,13,26,21162,0.0007147766323024055,0.5817731958762886,0.00035738831615120275,bigram
there is,0,-0.21852873357703703,7,14,21162,0.00038487972508591066,0.5817731958762886,0.00019243986254295533,bigram
not a,0,-0.21852873357703703,6,12,21162,0.00032989690721649484,0.5817731958762886,0.00016494845360824742,bigram
is not,0,-0.2691548066470049,14,29,21162,0.0007972508591065292,0.5817731958762886,0.00038487972508591066,bigram
need to,0,-0.2774224226306055,12,25,21162,0.0006872852233676976,0.5817731958762886,0.00032989690721649484,bigram
as a,0,-0.29653124557830995,9,19,21162,0.0005223367697594502,0.5817731958762886,0.00024742268041237116,bigram
with the,0,-0.29653124557830995,9,19,21162,0.0005223367697594502,0.5817731958762886,0.00024742268041237116,bigram
of the,0,-0.3161395302034591,50,107,21162,0.0029415807560137456,0.5817731958762886,0.0013745704467353953,bigram
it was,0,-0.31806440712795125,7,15,21162,0.0004123711340206186,0.5817731958762886,0.00019243986254295533,bigram
open borders,0,-0.3281532247515352,19,41,21162,0.0011271477663230241,0.5817731958762886,0.0005223367697594502,bigram
the jewish,0,-0.334005950996973,6,13,21162,0.00035738831615120275,0.5817731958762886,0.00016494845360824742,bigram
it is,0,-0.344059615660896,11,24,21162,0.0006597938144329897,0.5817731958762886,0.00030240549828178693,bigram
to stop,0,-0.35603225732697197,5,11,21162,0.00030240549828178693,0.5817731958762886,0.0001374570446735395,bigram
the iron,0,-0.35603225732697197,5,11,21162,0.00030240549828178693,0.5817731958762886,0.0001374570446735395,bigram
are they,0,-0.35603225732697197,5,11,21162,0.00030240549828178693,0.5817731958762886,0.0001374570446735395,bigram
second amendment,0,-0.37607001056351685,13,29,21162,0.0007972508591065292,0.5817731958762886,0.00035738831615120275,bigram
are you,0,-0.4111738115194328,7,16,21162,0.00043986254295532644,0.5817731958762886,0.00019243986254295533,bigram
has been,0,-0.4111738115194328,7,16,21162,0.00043986254295532644,0.5817731958762886,0.00019243986254295533,bigram
an insurrection,0,-0.4409211549134851,6,14,21162,0.00038487972508591066,0.5817731958762886,0.00016494845360824742,bigram
there are,0,-0.4409211549134851,6,14,21162,0.00038487972508591066,0.5817731958762886,0.00016494845360824742,bigram
if you,0,-0.46645624702062255,8,19,21162,0.0005223367697594502,0.5817731958762886,0.00021993127147766322,bigram
be a,0,-0.46645624702062255,8,19,21162,0.0005223367697594502,0.5817731958762886,0.00021993127147766322,bigram
jewish state,0,-0.4722853258228199,13,31,21162,0.000852233676975945,0.5817731958762886,0.00035738831615120275,bigram
conservative values,0,-0.4815631394108309,5,12,21162,0.00032989690721649484,0.5817731958762886,0.0001374570446735395,bigram
by the,0,-0.4815631394108309,10,24,21162,0.0006597938144329897,0.5817731958762886,0.000274914089347079,bigram
want to,0,-0.4986366527697722,7,17,21162,0.00046735395189003435,0.5817731958762886,0.00019243986254295533,bigram
anti immigration,0,-0.4986366527697722,7,17,21162,0.00046735395189003435,0.5817731958762886,0.00019243986254295533,bigram
election fraud,0,-0.5139846171032082,11,27,21162,0.0007422680412371134,0.5817731958762886,0.00030240549828178693,bigram
not the,0,-0.5404568284643991,6,15,21162,0.0004123711340206186,0.5817731958762886,0.00016494845360824742,bigram
to get,0,-0.5404568284643991,6,15,21162,0.0004123711340206186,0.5817731958762886,0.00016494845360824742,bigram
gender ideology,0,-0.5404568284643991,6,15,21162,0.0004123711340206186,0.5817731958762886,0.00016494845360824742,bigram
to be,0,-0.5404568284643994,20,50,21162,0.0013745704467353953,0.5817731958762886,0.000549828178694158,bigram
like a,0,-0.597040356830767,5,13,21162,0.00035738831615120275,0.5817731958762886,0.0001374570446735395,bigram
you are,0,-0.6335662328558807,6,16,21162,0.00043986254295532644,0.5817731958762886,0.00016494845360824742,bigram
is a,0,-0.6730945970425183,27,74,21162,0.002034364261168385,0.5817731958762886,0.0007422680412371134,bigram
illegal immigration,0,-0.72102907410622,12,34,21162,0.0009347079037800687,0.5817731958762886,0.00032989690721649484,bigram
red states,0,-0.7331019064067951,14,40,21162,0.001099656357388316,0.5817731958762886,0.00038487972508591066,bigram
all the,0,-0.7490434502758168,9,26,21162,0.0007147766323024055,0.5817731958762886,0.00024742268041237116,bigram
part of,0,-0.8034912342981934,5,15,21162,0.0004123711340206186,0.5817731958762886,0.0001374570446735395,bigram
voter suppression,0,-0.8034912342981934,8,24,21162,0.0006597938144329897,0.5817731958762886,0.00021993127147766322,bigram
is the,0,-0.8315056104677897,17,52,21162,0.001429553264604811,0.5817731958762886,0.00046735395189003435,bigram
election interference,0,-0.85079694907655,10,31,21162,0.000852233676975945,0.5817731958762886,0.000274914089347079,bigram
the police,0,-0.8966006386896745,5,16,21162,0.00043986254295532644,0.5817731958762886,0.0001374570446735395,bigram
defund the,0,-0.9840634799400141,5,17,21162,0.00046735395189003435,0.5817731958762886,0.0001374570446735395,bigram
the people,0,-0.996136312240589,7,24,21162,0.0006597938144329897,0.5817731958762886,0.00019243986254295533,bigram
an apartheid,0,-1.0258836556346411,6,21,21162,0.000577319587628866,0.5817731958762886,0.00016494845360824742,bigram
deep state,0,-1.1571281889128937,6,23,21162,0.0006323024054982818,0.5817731958762886,0.00016494845360824742,bigram
ethnic cleansing,0,-1.4201625947466874,10,46,21162,0.0012646048109965636,0.5817731958762886,0.000274914089347079,bigram
trump is,0,-1.4201625947466874,5,23,21162,0.0006323024054982818,0.5817731958762886,0.0001374570446735395,bigram
apartheid state,0,-1.7687258161375166,7,41,21162,0.0011271477663230241,0.5817731958762886,0.00019243986254295533,bigram
human shields,0,-1.837438566221531,7,43,21162,0.0011821305841924399,0.5817731958762886,0.00019243986254295533,bigram
woke mob,0,-1.8966006386896745,5,32,21162,0.0008797250859106529,0.5817731958762886,0.0001374570446735395,bigram
liberal agenda,1,1.2576425677825798,11,11,15213,0.00030240549828178693,0.4182268041237113,0.00030240549828178693,bigram
stolen election,1,1.2576425677825795,18,18,15213,0.0004948453608247423,0.4182268041237113,0.0004948453608247423,bigram
ukrainian nazis,1,1.1645331633910982,15,16,15213,0.00043986254295532644,0.4182268041237113,0.0004123711340206186,bigram
is just,1,1.1201390440326446,10,11,15213,0.00030240549828178693,0.4182268041237113,0.000274914089347079,bigram
as human,1,1.10563947433753,18,20,15213,0.000549828178694158,0.4182268041237113,0.0004948453608247423,bigram
the radical,1,1.0649974898401837,14,16,15213,0.00043986254295532644,0.4182268041237113,0.00038487972508591066,bigram
the woke,1,1.0649974898401835,21,24,15213,0.0006597938144329897,0.4182268041237113,0.000577319587628866,bigram
rigged election,1,1.0231773141455565,17,20,15213,0.000549828178694158,0.4182268041237113,0.00046735395189003435,bigram
woke mob,1,1.0125300699460482,27,32,15213,0.0008797250859106529,0.4182268041237113,0.0007422680412371134,bigram
human shields,1,1.001302814522794,36,43,15213,0.0011821305841924399,0.4182268041237113,0.0009896907216494846,bigram
the deep,1,0.9946081619487855,10,12,15213,0.00032989690721649484,0.4182268041237113,0.000274914089347079,bigram
when the,1,0.9946081619487855,10,12,15213,0.00032989690721649484,0.4182268041237113,0.000274914089347079,bigram
apartheid state,1,0.9875534044148351,34,41,15213,0.0011271477663230241,0.4182268041237113,0.0009347079037800687,bigram
is an,1,0.9775346485898443,14,17,15213,0.00046735395189003435,0.4182268041237113,0.00038487972508591066,bigram
the election,1,0.968135950587595,9,11,15213,0.00030240549828178693,0.4182268041237113,0.00024742268041237116,bigram
they are,1,0.968135950587595,18,22,15213,0.0006048109965635739,0.4182268041237113,0.0004948453608247423,bigram
a traitor,1,0.968135950587595,9,11,15213,0.00030240549828178693,0.4182268041237113,0.00024742268041237116,bigram
voted for,1,0.968135950587595,9,11,15213,0.00030240549828178693,0.4182268041237113,0.00024742268041237116,bigram
enemy of,1,0.9580822859236717,13,16,15213,0.00043986254295532644,0.4182268041237113,0.00035738831615120275,bigram
are the,1,0.9580822859236717,13,16,15213,0.00043986254295532644,0.4182268041237113,0.00035738831615120275,bigram
radical left,1,0.9527879862541585,17,21,15213,0.000577319587628866,0.4182268041237113,0.00046735395189003435,bigram
of israel,1,0.9357144728952171,8,10,15213,0.000274914089347079,0.4182268041237113,0.00021993127147766322,bigram
christian nationalism,1,0.9357144728952171,8,10,15213,0.000274914089347079,0.4182268041237113,0.00021993127147766322,bigram
israel is,1,0.9097192643622725,11,14,15213,0.00038487972508591066,0.4182268041237113,0.00030240549828178693,bigram
ethnic cleansing,1,0.904005613167879,36,46,15213,0.0012646048109965636,0.4182268041237113,0.0009896907216494846,bigram
trump is,1,0.904005613167879,18,23,15213,0.0006323024054982818,0.4182268041237113,0.0004948453608247423,bigram
should be,1,0.8426050685037358,12,16,15213,0.00043986254295532644,0.4182268041237113,0.00032989690721649484,bigram
elon musk,1,0.8426050685037356,9,12,15213,0.00032989690721649484,0.4182268041237113,0.00024742268041237116,bigram
and his,1,0.8426050685037356,9,12,15213,0.00032989690721649484,0.4182268041237113,0.00024742268041237116,bigram
deep state,1,0.8215434529759058,17,23,15213,0.0006323024054982818,0.4182268041237113,0.00046735395189003435,bigram
to take,1,0.7982109491452825,8,11,15213,0.00030240549828178693,0.4182268041237113,0.00021993127147766322,bigram
an apartheid,1,0.7722157406123377,15,21,15213,0.000577319587628866,0.4182268041237113,0.0004123711340206186,bigram
the people,1,0.7601429083117626,17,24,15213,0.0006597938144329897,0.4182268041237113,0.00046735395189003435,bigram
defund the,1,0.7551422272533963,12,17,15213,0.00046735395189003435,0.4182268041237113,0.00032989690721649484,bigram
so much,1,0.7430693949528215,7,10,15213,0.000274914089347079,0.4182268041237113,0.00019243986254295533,bigram
you know,1,0.7430693949528215,7,10,15213,0.000274914089347079,0.4182268041237113,0.00019243986254295533,bigram
extreme right,1,0.7271278510837997,9,13,15213,0.00035738831615120275,0.4182268041237113,0.00024742268041237116,bigram
the police,1,0.7170741864198769,11,16,15213,0.00043986254295532644,0.4182268041237113,0.00030240549828178693,bigram
election interference,1,0.6957636801744647,21,31,15213,0.000852233676975945,0.4182268041237113,0.000577319587628866,bigram
is the,1,0.6864858665864537,35,52,15213,0.001429553264604811,0.4182268041237113,0.0009621993127147767,bigram
with a,1,0.6726800670614231,8,12,15213,0.00032989690721649484,0.4182268041237113,0.00021993127147766322,bigram
part of,1,0.6726800670614231,10,15,15213,0.0004123711340206186,0.4182268041237113,0.000274914089347079,bigram
voter suppression,1,0.6726800670614231,16,24,15213,0.0006597938144329897,0.4182268041237113,0.00043986254295532644,bigram
coup attempt,1,0.6726800670614231,8,12,15213,0.00032989690721649484,0.4182268041237113,0.00021993127147766322,bigram
all the,1,0.6446656908918267,17,26,15213,0.0007147766323024055,0.4182268041237113,0.00046735395189003435,bigram
red states,1,0.6361541910363093,26,40,15213,0.001099656357388316,0.4182268041237113,0.0007147766323024055,bigram
illegal immigration,1,0.6296113451695374,22,34,15213,0.0009347079037800687,0.4182268041237113,0.0006048109965635739,bigram
up to,1,0.6055658712028866,7,11,15213,0.00030240549828178693,0.4182268041237113,0.00019243986254295533,bigram
you can,1,0.6055658712028866,7,11,15213,0.00030240549828178693,0.4182268041237113,0.00019243986254295533,bigram
is a,1,0.602778053831267,47,74,15213,0.002034364261168385,0.4182268041237113,0.0012920962199312715,bigram
you are,1,0.5795706626699418,10,16,15213,0.00043986254295532644,0.4182268041237113,0.000274914089347079,bigram
like a,1,0.557202849641487,8,13,15213,0.00035738831615120275,0.4182268041237113,0.00021993127147766322,bigram
the democrats,1,0.5206769736163734,6,10,15213,0.000274914089347079,0.4182268041237113,0.00016494845360824742,bigram
not the,1,0.5206769736163734,9,15,15213,0.0004123711340206186,0.4182268041237113,0.00024742268041237116,bigram
time to,1,0.5206769736163734,6,10,15213,0.000274914089347079,0.4182268041237113,0.00016494845360824742,bigram
are a,1,0.5206769736163734,6,10,15213,0.000274914089347079,0.4182268041237113,0.00016494845360824742,bigram
to get,1,0.5206769736163734,9,15,15213,0.0004123711340206186,0.4182268041237113,0.00024742268041237116,bigram
gender ideology,1,0.5206769736163734,9,15,15213,0.0004123711340206186,0.4182268041237113,0.00024742268041237116,bigram
we can,1,0.5206769736163734,6,10,15213,0.000274914089347079,0.4182268041237113,0.00016494845360824742,bigram
to be,1,0.5206769736163732,30,50,15213,0.0013745704467353953,0.4182268041237113,0.0008247422680412372,bigram
election fraud,1,0.5027550656191109,16,27,15213,0.0007422680412371134,0.4182268041237113,0.00043986254295532644,bigram
want to,1,0.4921078214196024,10,17,15213,0.00046735395189003435,0.4182268041237113,0.000274914089347079,bigram
anti immigration,1,0.4921078214196024,10,17,15213,0.00046735395189003435,0.4182268041237113,0.000274914089347079,bigram
conservative values,1,0.4800349891190275,7,12,15213,0.00032989690721649484,0.4182268041237113,0.00019243986254295533,bigram
by the,1,0.4800349891190275,14,24,15213,0.0006597938144329897,0.4182268041237113,0.00038487972508591066,bigram
jewish state,1,0.47337125883801695,18,31,15213,0.000852233676975945,0.4182268041237113,0.0004948453608247423,bigram
if you,1,0.4691466729762914,11,19,15213,0.0005223367697594502,0.4182268041237113,0.00030240549828178693,bigram
be a,1,0.4691466729762914,11,19,15213,0.0005223367697594502,0.4182268041237113,0.00030240549828178693,bigram
an insurrection,1,0.4502876457249752,8,14,15213,0.00038487972508591066,0.4182268041237113,0.00021993127147766322,bigram
there are,1,0.4502876457249752,8,14,15213,0.00038487972508591066,0.4182268041237113,0.00021993127147766322,bigram
are you,1,0.4275675692248922,9,16,15213,0.00043986254295532644,0.4182268041237113,0.00024742268041237116,bigram
has been,1,0.4275675692248922,9,16,15213,0.00043986254295532644,0.4182268041237113,0.00024742268041237116,bigram
second amendment,1,0.3996615726550075,16,29,15213,0.0007972508591065292,0.4182268041237113,0.00043986254295532644,bigram
to stop,1,0.3831734498664386,6,11,15213,0.00030240549828178693,0.4182268041237113,0.00016494845360824742,bigram
the iron,1,0.3831734498664386,6,11,15213,0.00030240549828178693,0.4182268041237113,0.00016494845360824742,bigram
are they,1,0.3831734498664386,6,11,15213,0.00030240549828178693,0.4182268041237113,0.00016494845360824742,bigram
it is,1,0.3731197852025155,13,24,15213,0.0006597938144329897,0.4182268041237113,0.00035738831615120275,bigram
the jewish,1,0.36455777169909137,7,13,15213,0.00035738831615120275,0.4182268041237113,0.00019243986254295533,bigram
open borders,1,0.359522181801793,22,41,15213,0.0011271477663230241,0.4182268041237113,0.0006048109965635739,bigram
it was,1,0.3507519721740608,8,15,15213,0.0004123711340206186,0.4182268041237113,0.00021993127147766322,bigram
of the,1,0.3490655955461745,57,107,15213,0.0029415807560137456,0.4182268041237113,0.0015670103092783505,bigram
as a,1,0.3316431492263564,10,19,15213,0.0005223367697594502,0.4182268041237113,0.000274914089347079,bigram
with the,1,0.3316431492263564,10,19,15213,0.0005223367697594502,0.4182268041237113,0.000274914089347079,bigram
need to,1,0.3142260961489469,13,25,15213,0.0006872852233676976,0.4182268041237113,0.00035738831615120275,bigram
is not,1,0.30655216826352605,15,29,15213,0.0007972508591065292,0.4182268041237113,0.0004123711340206186,bigram
was a,1,0.2576425677825795,5,10,15213,0.000274914089347079,0.4182268041237113,0.0001374570446735395,bigram
its a,1,0.2576425677825795,10,20,15213,0.000549828178694158,0.4182268041237113,0.000274914089347079,bigram
would be,1,0.2576425677825795,10,20,15213,0.000549828178694158,0.4182268041237113,0.000274914089347079,bigram
out of,1,0.2576425677825795,5,10,15213,0.000274914089347079,0.4182268041237113,0.0001374570446735395,bigram
about the,1,0.2576425677825795,13,26,15213,0.0007147766323024055,0.4182268041237113,0.00035738831615120275,bigram
the only,1,0.2576425677825795,10,20,15213,0.000549828178694158,0.4182268041237113,0.000274914089347079,bigram
there is,1,0.2576425677825795,7,14,15213,0.00038487972508591066,0.4182268041237113,0.00019243986254295533,bigram
not a,1,0.2576425677825795,6,12,15213,0.00032989690721649484,0.4182268041237113,0.00016494845360824742,bigram
you have,1,0.2576425677825795,5,10,15213,0.000274914089347079,0.4182268041237113,0.0001374570446735395,bigram
this is,1,0.23016183136047277,26,53,15213,0.0014570446735395189,0.4182268041237113,0.0007147766323024055,bigram
the same,1,0.18725323989118142,10,21,15213,0.000577319587628866,0.4182268041237113,0.000274914089347079,bigram
trying to,1,0.18725323989118142,10,21,15213,0.000577319587628866,0.4182268041237113,0.000274914089347079,bigram
have to,1,0.17017972653224028,8,17,15213,0.00046735395189003435,0.4182268041237113,0.00021993127147766322,bigram
blue states,1,0.16453316339109825,15,32,15213,0.0008797250859106529,0.4182268041237113,0.0004123711340206186,bigram
voting rights,1,0.15810689423166502,7,15,15213,0.0004123711340206186,0.4182268041237113,0.00019243986254295533,bigram
to do,1,0.14216535036264333,6,13,15213,0.00035738831615120275,0.4182268041237113,0.00016494845360824742,bigram
