id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation,text_masked
eng_e1e9277826e351263085e9076041e2c4,"Putin this Putin that, how about you putin that work to get a job.",0,0,0,0,0,0,"Putin this Putin that, how about you putin that work to get a job."
eng_a38f795ee5bbf740d2effa5c8285755a,"The Italian government has approved the tenth package of military aid to Ukraine. The list of weapons that will be sent to Kyiv is confidential, ANSA reports. Italy Ukraine RussiaIsATerroristState",0,0,0,0,0,0,"The Italian government has approved the tenth package of military aid to Ukraine. The list of weapons that will be sent to Kyiv is confidential, ANSA reports. Italy Ukraine RussiaIsATerroristState"
eng_d7b0d8488b3c623cc0c6055f37240926,Israeli dairy farmers slaughtered by Hamas as they milked,0,0,0,0,0,0,Israeli dairy farmers slaughtered by Hamas as they milked
eng_cd5543666f96d9a37c3da11e506381c8,"The ""West Bank"" is back in the news Russian Defense Minister orders the withdrawal of troops from the entire west bank of Dnipro River.",0,0,0,0,0,0,"The ""West Bank"" is back in the news Russian Defense Minister orders the withdrawal of troops from the entire west bank of Dnipro River."
eng_d86f796929fc62c952c95babc161aa6c,"Donald Trump is a criminal, not a media",1,1,0,0,1,1,"Donald MASKED_TOKEN a criminal, not a media"
eng_c393affcda2004cb5b56c87e90ca502b,"It follows decades of dehumanising of Palestinians by Israelis and their governments. Institutionalised racism, in an apartheid state, that has enabled todays ethnic cleansing and genocide.",1,1,1,1,1,0,"It follows decades of dehumanising of Palestinians by Israelis and their governments. Institutionalised MASKED_TOKEN, in MASKED_TOKEN, that has enabled todays MASKED_TOKEN cleansing and genocide."
eng_7d6afd720af6eee98ce3a88a5771b0ed,Business Insider Trumps former chief of staff Mark Meadows investigated in North Carolina over voter registration fraud allegations,0,0,0,0,0,0,Business Insider Trumps former chief of staff Mark Meadows investigated in North Carolina over voter registration fraud allegations
eng_921349b014563c3124a01b130363ac3b,Hows that gun control working in Mexico?,0,0,0,0,0,0,Hows that gun control working in Mexico?
eng_067adc4c844cdb920bd20c367c188418,NJ survivor of Hamas attack in Israel still trying to heal,0,0,0,0,0,0,NJ survivor of Hamas attack in Israel still trying to heal
eng_8b331eceb044f0d241f9f3eed4e20f10,Another drop in the fascist bucket,0,0,0,0,0,0,Another drop in the MASKED_TOKEN bucket
eng_1a404b6a02838812f8bac6699d88dece,Kamala Harris should tap Beto ORourke for VP,0,0,0,0,0,0,Kamala Harris should tap Beto ORourke for VP
eng_8ccfdb675a0ad2772a5d349b2bbad483,County Voices Concerns Over Randolph Hospital Situation,0,0,0,0,0,0,County Voices Concerns Over Randolph Hospital Situation
eng_8f29d4bca58ef804371b2b5994acbc76,"I never thought ""Id agree"" with Mike Pence, but here I am.",0,0,0,0,0,0,"I never thought ""Id agree"" with Mike Pence, but here I am."
eng_39ec83fafe657f830dbc31647428a279,"another rigged election with all the bot accounts,",0,0,0,1,0,1,"another rigged election with all the bot accounts,"
eng_b6fbf0efe170bd0a1853d712527ad838,"Yes! Immigration is a classic manufactured crisis, which is to say not a crisis.",0,0,1,0,1,0,"Yes! Immigration is a classic manufactured crisis, which is to say not a crisis."
eng_52ad3f4ab2fa4a2f608c83c7f1a20077,"Joe Biden, Kate Gallego announce new plan to combat",0,0,0,0,0,0,"Joe Biden, Kate Gallego announce new plan to combat"
eng_25581d14bfade4f8219cdb1e05d3a402,If he loves refugees so much why doesnt he bring refugees to Israel,0,1,1,0,0,1,If he loves refugees so much why doesnt he bring refugees to Israel
eng_42c9330255dd533b15ddb845a616c2e0,Its the NY Post. Theyre literally fake news.,0,0,0,0,0,1,Its the NY Post. Theyre literally fake news.
eng_3f1d7cc3cf5688a962fda4af46c2d054,"Lady a, didnt they change their name to appease the woke mob?",0,0,1,0,1,1,"Lady a, didnt they change their name to appease the MASKED_TOKEN MASKED_TOKEN?"
eng_5dae14118d1c906a459928dc0dbace25,great to see jacinda stand up to the woke mob,0,0,0,1,0,0,great to see jacinda stand up to MASKED_TOKEN
eng_e710ab9d58691cb46d01957d9f45148a,Im a fan of Mike Pence now what bizarro world are we living in?,0,0,0,0,0,0,Im a fan of Mike Pence now what bizarro world are we living in?
eng_908c9f6d1a52e84039caf79915140ce9,A lot of those folks are there because of drugs that came in through open borders.,1,1,0,0,1,0,A lot of those folks are there MASKED_TOKEN of drugs that came in through open borders.
eng_ac736f9508f783d8f5422fa53b39040f,"hcci supports antifa,blm,defund the police and socialism",1,1,0,0,0,0,"hcci supports antifa,blm,MASKED_TOKEN police and socialism"
eng_61db74f3ed3b95e8e4d937570b7730ef,UPDATED: Englewood Police Release Video and Audio of Incident,0,0,0,0,0,0,UPDATED: Englewood Police Release Video and Audio of Incident
eng_41c2844ffe584c11393d22d89995cc3b,Republicans are acting like criminals,1,1,0,1,0,0,Republicans are acting like criminals
eng_e5a3354164bcb79813745d5b9a5f050e,Im delighted to report the interminable 31 year ceasefire in the BattleofAlberta has finally ended.,0,0,0,0,0,0,Im delighted to report the interminable 31 year ceasefire in the BattleofAlberta has finally ended.
eng_6bdc71240598e19e5e6a27cc089f925d,Do you want to sue Joe Biden? Kansas AG Kris Kobach,0,0,0,0,0,0,Do you want to sue Joe Biden? Kansas AG Kris Kobach
eng_0a66001a5c61367ce476456ea0e5e009,"Hunter Biden defies GOP subpoena, blasts impeachment",0,0,0,0,0,0,"Hunter Biden defies GOP subpoena, blasts impeachment"
eng_2242f8919b3dd02042304727d4f3d90c,Hurst mayoral campaign accused of voter fraud based,0,0,0,0,0,0,Hurst mayoral campaign accused of voter fraud based
eng_a003dc6bc6ab23247c3d3b3e74258646,Could there be two less qualified persons to discuss the Ukraine invasion? I dont think so.,0,1,1,1,0,0,Could there be two less qualified persons to discuss the Ukraine invasion? I dont think so.
eng_0cb41edd908a46643f8bc952b6128a23,looks like the cpc is trying to take down the gatekeepers. i will have my gospel group pray for DefundThePolice,0,1,1,0,0,0,looks like the cpc is trying MASKED_TOKEN down the gatekeepers. i will have my gospel group pray for DefundThePolice
eng_4413516df53797c7497a4ff5b57c2a40,man fuck Donald Trump bro,0,1,0,1,0,1,man MASKED_TOKEN Donald Trump bro
eng_7772c4bc9b52aa288afcc14528b3c758,Enthusiasm for Donald Trump is waning,0,0,0,0,0,0,Enthusiasm for Donald MASKED_TOKEN waning
eng_a665bccd9739ad1c9469400b3cf0eb80,"This is the kind of information that is needed daily so that people can see who is and who is not working, as they were elected to do, to improve their constituents lives. Getting rid of Citizens United should have been priority one long ago. Second is getting rid of the Electoral College.",0,0,0,0,0,0,"This is the kind of information that is needed daily so that people can see who is and who is not working, as they were elected to do, to improve their constituents lives. Getting rid of Citizens United should have been priority one long ago. Second is getting rid of the Electoral College."
eng_4a234ba7a1a380ae52fbe079c59349d9,Why dont you get it? Its white Christian nationalism.,1,1,0,1,1,1,Why dont you get it? Its white MASKED_TOKEN.
eng_53305f7766e99dc3ecc22c58d9bb38ea,It did the right thing. Push back at every turn against the woke mob.,1,1,1,0,0,1,It did the right thing. Push back at every turn against MASKED_TOKEN mob.
eng_0c45292c1deaa071dc6b8772ab872d0c,We need to DEPORT MUSK for illegal immigration.,0,1,0,1,1,0,We need to DEPORT MASKED_TOKEN for illegal immigration.
eng_8022be1f2d8389c7191b17529516ed95,It is not a resistance but xenophobia,0,0,0,0,0,0,It is not a resistance but xenophobia
eng_93f3bbb3558fe81927b951e3522ab0c9,"No, i get it. If Democrats come up with a border security bill, its a nonstarter. If Republicans offer one, ""Lets getr done!""",0,0,0,1,0,1,"No, i get it. If Democrats come up with a border security bill, its a nonstarter. If Republicans offer one, ""Lets getr done!"""
eng_08431da1410f6227336d3d59e2165e24,I really be bout to cry every time I think about Kamala Harris,0,0,0,0,0,0,I really be bout to cry every time I think about Kamala Harris
eng_57e425a54dadbac4bd1cceea56f0fdd0,Great Opportunity for Permanent War What if Israel Annexed the West Bank? via,0,0,0,0,0,0,Great Opportunity for Permanent War What if Israel Annexed the West Bank? via
eng_c205b5e77e74a8b5b0e1ac841a58f6be,Election fraud just occurred in Arizona. Great,0,0,0,0,0,1,Election fraud just occurred in Arizona. Great
eng_990ae62349279e9b7aa1258aa87e517c,is Kamala Harris still the vice president,0,0,0,0,0,0,is Kamala Harris still the vice president
eng_d41fd5cc92f68d8e48198e10db2c730e,Glad to hear that an open borders guy will be running the Trump White House.,0,0,0,0,0,0,Glad to hear that an open borders guy will be running the Trump MASKED_TOKEN House.
eng_8b195bb5cedc7fc66a20ec50d3b227b5,Why Republicans condemn taking Anthony Waynes name,0,0,0,0,0,0,Why Republicans condemn taking Anthony Waynes name
eng_f5697730053ce3d6b7039ea1855dc9ed,BREAKING Antigua Barbuda and Armenia reach agreement for 58day ceasefire.,0,0,0,0,0,0,BREAKING Antigua Barbuda and Armenia reach agreement for 58day ceasefire.
eng_3265e6a9b1fafe516d9e7db21116b985,"WE NEED RUSSIA TO WITHDRAW, NOT CEASEFIRE.",0,0,0,0,0,0,"WE NEED RUSSIA TO WITHDRAW, NOT CEASEFIRE."
eng_953175fbdf11ba464912586a5b9500da,Epic treason by all Republicans.,0,1,0,1,0,1,Epic treason by all Republicans.
eng_061b7ca752eed1ce63e9e10adcf73fe4,The absolute depravity of the Israeli army will haunt Israeli society,1,1,0,1,0,1,The absolute depravity of the Israeli army will haunt Israeli society
eng_7139be0e928005eb981c96192c66c361,Fuck imperialism Fuck putin StopTheWar NoWar,0,1,0,1,0,0,Fuck imperialism Fuck putin StopTheWar NoWar
eng_9c11db332927066bc3c04eeeaa56b134,President Joe Biden plans to travel to New Mexico next,0,0,0,0,0,0,President Joe Biden plans to travel to New Mexico next
eng_a1e2df3e5a1373c0794e00b02f7d31e2,respectfully i am too drunk to continue this i request a ceasefire,0,0,0,0,0,0,respectfully i am too drunk to continue this i request a ceasefire
eng_24994745435ac102235c3ba3b043c509,Another Trump campaign lie. Herschel was supposed to build the iron dome.,0,1,0,0,0,0,Another Trump campaign lie. Herschel was supposed to build the iron dome.
eng_4149c49e3fad5f9740f8ce287ba77349,Return of the Trump Deportation policy,0,0,0,0,0,0,Return of the Trump Deportation policy
eng_37b315fba430a74880bcb17751d40a64,This is false. Please dont make fake news tge norm.,0,0,0,0,0,0,This is false. Please dont make fake news tge norm.
eng_4578a55c85e9fe08a5d1618338589dee,Didnt Joe Biden shower and rape his teen daughter. Oh thats right he did.,0,1,1,1,0,1,Didnt Joe Biden shower and rape his teen daughter. Oh thats right he did.
eng_4b264537888ec3ac4efc7ba33b5f0470,Couldnt electoral colleges upend the results and vote Kamala Harris in?,0,0,0,0,0,0,Couldnt electoral colleges upend the results and vote Kamala Harris in?
eng_3dd9252f324dbcc1254e1af5e3cf29a9,"FBI shoots, kills Utah man wanted for Joe Biden, Alvin",0,0,0,0,0,0,"FBI shoots, kills Utah man wanted for Joe Biden, Alvin"
eng_b937ff77b2358a8dd59e19a581cab998,Nazis murdered Hews. Zionism saves Jews.,1,1,1,1,0,0,MASKED_TOKEN murdered Hews. Zionism saves Jews.
eng_72540d1085aef8eba392383cad4ab32e,"I think we may be entering a golden age for amazing propaganda, again. Im here for it. elon maga trump propaganda",0,0,0,0,0,0,"I think we may be entering a golden age for amazing propaganda, again. Im here for it. elon maga trump propaganda"
eng_b0753f1ec1ef2667ee432b008c851dd1,I do not care about voter suppression in the slightest.,0,0,0,0,1,1,I do not care about voter suppression in the slightest.
eng_07bac9b9559b2b9dc7281d9cf0280b34,"Yeah, some IDF are indistinguishable from them.",1,1,0,0,0,0,"Yeah, some IDF are indistinguishable from MASKED_TOKEN."
eng_73a498ee92e337cb1ca3602c6f3c143e,"Russias military says withdrawal of troops from west bank of river that divides Ukraines Kherson region completed, reports AP",0,0,0,0,0,0,"Russias military says withdrawal of troops from west bank of river that divides Ukraines Kherson region completed, reports AP"
eng_5f04bd836405c36697833bc855adea0f,espña digna lucha contra em neonazismo del IDF,0,0,0,0,0,0,espña digna lucha contra em neonazismo del IDF
eng_a1f0ae85582e5cb6affabb1ee67e664a,NOT the xenophobia TOO I HATE this man SM,0,1,0,0,0,1,NOT the xenophobia TOO I MASKED_TOKEN this man SM
eng_514cd3eb47b690b12e5bf927a5f68f61,265 and check your voter registration details. RegisterToVoteZW VoteForChange Vote CCC,0,0,0,0,0,0,265 and check your voter registration details. RegisterToVoteZW VoteForChange Vote CCC
eng_16a79ef0d1f95508be16cd92238a7450,"President Trumps attacks against ""gender ideology"" are not about defending women, .bsky.social asserts. Rather, they align with a global movement targeting LGBTQ rights and progressive gender norms. Read her newest for .org",0,1,0,1,0,0,"President Trumps attacks against ""gender ideology"" are not about defending women, .bsky.social asserts. Rather, they align with a global movement targeting LGBTQ rights and MASKED_TOKEN gender norms. Read her newest for .org"
eng_6cda5c6f7e963906cf30bc2aa6eaf717,heres your reminder that early voting ends november 4th,0,0,0,0,0,0,heres your reminder that early voting ends november 4th
eng_e09fbd67a7e2a6a31020f25fb919a7ed,Its going to be just CNN you dim bulb,0,0,0,0,0,0,Its going to be just CNN you dim bulb
eng_3d2b4cc1bd747eac22aad9762e6e4fb2,Seeing democrats melt down over Ted Cruz has been the highlight of my day. DemocratsAreEvil redwave fuckyouall,0,1,1,1,0,0,Seeing democrats melt down over Ted Cruz has been the highlight of my day. DemocratsAreEvil redwave fuckyouall
eng_e6fff568298653e991305ca83a1cb451,"Hostage release delayed, wont start before Friday, Israeli",0,0,0,0,0,0,"Hostage release delayed, wont start before Friday, Israeli"
eng_5d4d1bfca0275b2dbfe174d5a63e0675,"Im being cancelled by the Woke Mob for ""armed robbery""",0,1,0,1,0,0,"Im being cancelled by the MASKED_TOKEN for ""armed robbery"""
eng_22438247d08a580273b9e8164b842f91,Conrads continue to mourn loss of son,0,0,0,0,0,0,Conrads continue to mourn loss of son
eng_821827df2f633ec55e3fea96a38ab2c9,Studentled ceasefire protest delays state announcementSalem,0,0,0,0,0,0,Studentled ceasefire protest delays state announcementSalem
eng_c86caf102200ad0da29a3ad94704ce5c,Nato was formed to stop expansion of USSR. Now Russia has problem on Nato Expansion,0,0,0,0,0,0,Nato was formed to stop expansion of USSR. Now Russia has problem on Nato Expansion
eng_b80aa667ea82bf90bd1d2d2bbb841e5b,"It is military aid, like lendlease that helped the USSR during WW2",0,0,0,0,0,0,"It is military aid, like lendlease that helped the USSR during WW2"
eng_4fda14d63e2e094209e64443641dc71a,"Danbury Democrats flip City Council, take supermajority",0,0,0,0,0,0,"Danbury Democrats flip City Council, take supermajority"
eng_59749d011d78380ec6b3a226ddb5390d,Fake News The guy in the photo above has several chins.,0,0,0,0,0,0,Fake News The guy in the photo above has several chins.
eng_aceb436b446c4606041af2bf3c67ab93,Most Iowa GOP caucusgoers say Trump beats Biden,0,0,0,0,0,0,Most Iowa GOP caucusgoers say Trump beats Biden
eng_a46ac39f5fa8303e9b2491f59be503fb,DOJ wont appeal court ruling in Florida immigration,0,0,0,0,0,0,DOJ wont appeal court ruling in Florida immigration
eng_f473c25aad8cf481308250dcd83b94be,"It would be interesting if the powers to be decided to go ""against"" the electoral college",0,0,0,0,0,0,"It would be interesting if the powers to be decided to go ""against"" the electoral college"
eng_d7ba26609948b259170abbaa02594a87,The lack of national identity is the basis for Canadian literature. You cant lose what you never had.,1,1,0,0,1,1,The lack of national identity is the basis for Canadian literature. You cant lose what you never had.
eng_8c062041e169e434c05b2a31abac9ba7,"Know thy enemy Populism, polarization, and posttruth.",0,0,0,0,0,0,"Know thy enemy Populism, polarization, and posttruth."
eng_ce037934e9c48dad2ad517f22d8d6017,I have just joined as I had to get off X. It has been rigged to expose you to total racist and extreme right wing ideology.,1,1,1,1,0,1,I have just joined as I had to get off X. It has been MASKED_TOKEN to expose you to total racist and extreme right wing ideology.
eng_cc7e9c435010ceb3cc03ca6e9169de48,The media was really out here trying to manifest an insurrection pt 2,0,1,0,0,0,0,The media was really out here trying to manifest an insurrection pt 2
eng_219fbbd5282771d1a9abfa26896aae5d,Fort Wayne Democrats seek to reclaim City Council,0,0,0,0,0,0,Fort Wayne Democrats seek to reclaim City Council
eng_54c991588b4fdb13b77b4f7841f8fd0f,"If there isnt a massive Republican victory on November 8th, the only explanation is a rigged election system",0,1,0,1,0,1,"If there isnt a massive Republican victory on November 8th, the only explanation is a MASKED_TOKEN system"
eng_e19b6229c77c83b66f4bc3815b46cd0a,Novak Djokovic on Border Security is going to be the best episode ever!,0,0,0,0,0,0,Novak Djokovic on Border Security is going to be the best episode ever!
eng_8c8952b140619fdfb60d523065559061,So your real problem is actually with capitalism,0,0,0,0,0,0,So your real problem is actually with capitalism
eng_333761dd8534f7f48f6fc4a9e06cec6b,The quintessential difference between Capitalism and Socialism.,0,0,0,0,0,0,The quintessential difference between Capitalism and Socialism.
eng_ac6bbed74f7f18d69a5d46655a5dfc18,Milwaukee Palestinians denounce deadly Israeli airstrikes,0,0,0,0,0,0,Milwaukee Palestinians denounce deadly Israeli airstrikes
eng_72d48b4ff2a3be086b62cc863a4ba26e,They dont want us to call it a raid. So lets call it what it is. Election interference. Possibly INSURRECTION.,0,1,0,1,1,0,They dont want us to call it a raid. So lets call it what it is. Election interference. Possibly INSURRECTION.
eng_38abe1317b5d4da5b0178d09fff9f69d,"Wait, I thought Republicans were against the ""defund the police"" movement.",0,0,0,0,0,0,"Wait, I thought Republicans were against the ""MASKED_TOKEN police"" movement."
eng_2c77bd1f661480f247fad599ac99bd17,"""If you disagree with imperialism, youre a supporter of imperialism""",0,0,0,0,0,0,"""If you disagree with imperialism, youre a supporter of imperialism"""
eng_95b4d034144a33e2b34df45e0ee09e25,Past generations of immigrants looked a lot more like present day asylum seekers than present day tech workers.,0,0,0,0,0,0,Past generations of immigrants looked a lot more like present day asylum seekers than present day tech workers.
eng_a4d74eeb3ff29deb592d962a70337ed1,He added that the issuance of national identity documents was one of the key deliverables of the programme.,0,0,0,0,0,0,He added that the issuance of national identity documents was one of the key deliverables of the programme.
eng_b5d4d49db28614ec464ce5887e4dc946,"This is the problem! Democrats clap back and then ""other"" democrats demonize them. Get bent!",0,0,0,1,0,0,"This is the problem! Democrats clap back and then ""other"" democrats demonize them. Get bent!"
eng_d10bf6f33e6b4906ab511af634abddcd,fwiw I think we should have open borders,0,0,0,0,0,0,fwiw I think we should have open borders
eng_53e3bf07cfee2e3ab81022a35eb613e2,"Theres nothing new fake news, cannot be",0,0,0,0,0,0,"Theres MASKED_TOKEN new fake news, cannot be"
eng_33646cec59a97a435e493f85664269d3,Protest calling for ceasefire in Gaza shuts down Harrisburg,0,0,0,0,0,0,Protest calling for ceasefire in Gaza shuts down Harrisburg
eng_5330629eb46d2558c140deec17567831,Thank Now go get Jim Acosta MSNBC!,0,0,0,0,0,0,Thank Now go get Jim Acosta MSNBC!
eng_14efdd594937097afead3c8f98641463,So youre mad that border security is actually working? Weird flex but ok.,0,0,0,0,0,0,So youre mad that border security is actually working? Weird flex but MASKED_TOKEN.
eng_e0e810132d26e0348b1f8b1825348628,City of Chickasha Hires Assistant Police Chief,0,0,0,0,0,0,City of Chickasha Hires Assistant Police Chief
eng_bdd5683f38b5ee75a82320873151cb80,Ti space taka Gaza Hile Ukraine,0,0,0,0,0,0,Ti space taka Gaza Hile Ukraine
eng_0966d1a86effb32802c8acc970995f9e,It will be a cluster. Vengeance. Sad total disruption to blue states and at the cost of immigrants,0,0,0,0,0,0,It will be a cluster. Vengeance. Sad total disruption to blue states and at the cost of immigrants
eng_77434b24e5aabaec0ddfc57c48b2edff,The inevitable link between migration and multiculturalism has been exploited by the rightwing populism to instill fear us against them.,1,1,0,1,0,0,The inevitable link between migration and multiculturalism has been exploited by the rightwing populism to instill fear us against them.
eng_1f7f51654921fcf7c134a59f11ca19d1,ArrestSureshChavhanke Arrest this Israeli dog,0,1,1,1,0,1,ArrestSureshChavhanke Arrest this Israeli dog
eng_256c0ff64371a09ce6c9fc8c36e0b97b,Donald Trump endorses Gov. Tate Reeves ahead of Nov. 7,0,0,0,0,0,0,Donald Trump endorses Gov. Tate Reeves ahead of Nov. 7
eng_bbf2a834888fe4e08c85536d23bb093a,Take us with you Canada !! Sincerely all Blue States,0,1,0,1,0,1,Take us with you Canada !! Sincerely all Blue States
eng_3941a39fe174ae8850eddb267d3f5bb3,"Dear Allah, please protect all Muslim in Gaza",0,0,0,0,0,0,"Dear Allah, please protect all Muslim in Gaza"
eng_6c9b82fdc6a58e8c212bde9a071bb77a,Not just my theory on votes. But the Epstein file is just my personal conspiracy theory.,0,0,0,0,0,0,Not just my theory on votes. But the Epstein file is just my personal conspiracy theory.
eng_561a6df6000e081dafec5e21c3e6e4e4,"Trump returns to USMexico border, lays out immigration",0,0,0,0,0,0,"Trump returns to USMexico border, lays out immigration"
eng_522ec520df6d2c979cd03cf956048bc3,Antony Blinken gets it exactly right in case against HamasThe Iola,0,0,0,0,0,0,Antony Blinken gets it exactly right in case against HamasThe Iola
eng_56385f6a1974b0546b183ac582ae71e3,Its populism Dan. The same populism that the confused sex yeti and his minions parroted to get Brexit done.,1,1,0,1,1,1,Its populism Dan. The same populism that the confused sex yeti and his minions parroted to get Brexit done.
eng_b7445c8e4e0e271e4b9c012ddbdea070,Electoral college fuck my drag,0,0,0,1,0,0,Electoral college fuck my drag
